uf,ano,estupro,estupro_vulneravel,estupro_feminino,estupro_vulneravel_feminino,estupro_masculino,estupro_vulneravel_masculino,estupro_nao_informado,estupro_vulneravel_nao_informado,inse,quantidade_alunos_inse,percentual_nivel_1,percentual_nivel_2,percentual_nivel_3,percentual_nivel_4,percentual_nivel_5,percentual_nivel_6,percentual_nivel_7,percentual_nivel_8,populacao,taxa_estupro_por_100k,taxa_estupro_vulneravel_por_100k
AC,2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,816687.0,0.0,0.0
AC,2017,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,829619.0,0.0,0.0
AC,2018,83,213,75.0,183.0,8.0,28.0,0.0,2.0,,,,,,,,,,,869265.0,9.548296549383675,24.50345981950268
AC,2019,139,238,128.0,209.0,10.0,27.0,1.0,2.0,4.57,28003.0,1.66,28.0,21.69,18.7,14.1,8.36,6.48,1.02,881935.0,15.760798698316771,26.986115756830156
AC,2020,102,300,93.0,262.0,8.0,27.0,1.0,11.0,,,,,,,,,,,894470.0,11.403400896620344,33.539414401824544
AC,2021,145,489,134.0,444.0,9.0,26.0,2.0,19.0,4.63,23143.0,2.24,23.36,21.19,20.75,15.21,9.32,6.79,1.14,906876.0,15.98895549115866,53.92137403570058
AC,2022,297,443,257.0,404.0,16.0,39.0,24.0,0.0,,,,,,,,,,,830018.0,35.782356527207845,53.37233650354571
AC,2023,282,459,263.0,408.0,6.0,43.0,13.0,8.0,,,,,,,,,,,830018.0,33.975166803611486,55.30000554204848
AC,2024,210,560,189.0,509.0,19.0,48.0,2.0,3.0,,,,,,,,,,,880631.0,23.846537312449822,63.590766166532866
AC,2025,123,482,121.0,453.0,2.0,28.0,0.0,1.0,,,,,,,,,,,884372.0,13.908174388153403,54.50195166739789
AC,2026,40,120,39.0,106.0,1.0,14.0,0.0,0.0,,,,,,,,,,,,,
AL,2016,160,500,153.0,401.0,7.0,99.0,0.0,0.0,,,,,,,,,,,3358963.0,4.763374886832633,14.885546521351976
AL,2017,247,573,228.0,484.0,19.0,89.0,0.0,0.0,,,,,,,,,,,3375823.0,7.316734319305248,16.973638724542134
AL,2018,186,591,169.0,503.0,16.0,85.0,1.0,3.0,,,,,,,,,,,3322820.0,5.597655003882244,17.786097351045196
AL,2019,207,598,192.0,525.0,15.0,69.0,0.0,4.0,4.45,93866.0,4.72,29.48,21.0,18.02,12.46,7.49,5.73,1.11,3337357.0,6.202512946622133,17.91837073468616
AL,2020,165,690,156.0,593.0,9.0,91.0,0.0,6.0,,,,,,,,,,,3351543.0,4.92310556660022,20.5875323694191
AL,2021,248,686,232.0,589.0,15.0,91.0,1.0,6.0,4.55,90919.0,3.29,23.22,23.04,21.7,14.65,8.19,5.14,0.77,3365351.0,7.369216465087891,20.384203609073765
AL,2022,247,857,238.0,762.0,8.0,89.0,1.0,6.0,,,,,,,,,,,3127683.0,7.897219763000278,27.400475048142667
AL,2023,245,928,235.0,810.0,9.0,108.0,1.0,10.0,,,,,,,,,,,3127683.0,7.83327466370473,29.67052607313465
AL,2024,303,1019,269.0,859.0,25.0,128.0,9.0,32.0,,,,,,,,,,,3220104.0,9.40963397455486,31.644940660301657
AL,2025,206,643,187.0,540.0,17.0,93.0,2.0,10.0,,,,,,,,,,,3220848.0,6.395831159992649,19.9636865819188
AL,2026,55,165,50.0,140.0,5.0,23.0,0.0,2.0,,,,,,,,,,,,,
AM,2016,393,673,335.0,533.0,32.0,97.0,26.0,43.0,,,,,,,,,,,4001667.0,9.820907136950677,16.817991102208154
AM,2017,364,666,318.0,536.0,36.0,110.0,10.0,20.0,,,,,,,,,,,4063614.0,8.957543703708078,16.389351941399948
AM,2018,300,701,280.0,587.0,19.0,109.0,1.0,5.0,,,,,,,,,,,4080611.0,7.351840202361852,17.17879993951886
AM,2019,292,709,270.0,609.0,21.0,100.0,1.0,0.0,4.55,143310.0,3.1,27.55,21.76,18.36,12.92,8.0,7.04,1.26,4144597.0,7.04531707184076,17.106608917585955
AM,2020,233,665,223.0,587.0,10.0,77.0,0.0,1.0,,,,,,,,,,,4207714.0,5.537448600356393,15.80430609114593
AM,2021,218,549,209.0,482.0,8.0,66.0,1.0,1.0,4.57,142430.0,3.87,24.53,20.8,19.71,14.23,8.89,6.78,1.17,4269995.0,5.105392395073062,12.857157912362895
AM,2022,278,686,264.0,572.0,13.0,113.0,1.0,1.0,,,,,,,,,,,3941613.0,7.052950150103524,17.40404245673028
AM,2023,295,791,267.0,684.0,27.0,103.0,1.0,4.0,,,,,,,,,,,3941613.0,7.484245662879638,20.06792650622981
AM,2024,390,1161,356.0,997.0,29.0,144.0,5.0,20.0,,,,,,,,,,,4281209.0,9.109576290248853,27.11850787943312
AM,2025,416,1353,391.0,1178.0,25.0,133.0,0.0,42.0,,,,,,,,,,,4321616.0,9.626028781826058,31.30773303319869
AM,2026,142,327,131.0,291.0,10.0,31.0,1.0,5.0,,,,,,,,,,,,,
AP,2016,454,0,411.0,0.0,39.0,0.0,4.0,0.0,,,,,,,,,,,782295.0,58.034373222377745,0.0
AP,2017,399,0,0.0,0.0,0.0,0.0,399.0,0.0,,,,,,,,,,,797722.0,50.017424616595754,0.0
AP,2018,453,0,405.0,0.0,44.0,0.0,4.0,0.0,,,,,,,,,,,829494.0,54.61160659389941,0.0
AP,2019,196,435,187.0,374.0,8.0,50.0,1.0,11.0,4.69,25435.0,1.58,22.59,22.0,19.93,14.27,9.55,8.54,1.54,845731.0,23.175217651948433,51.434794278559025
AP,2020,144,400,134.0,346.0,4.0,47.0,6.0,7.0,,,,,,,,,,,861773.0,16.709736786833655,46.41593551898237
AP,2021,185,478,179.0,422.0,5.0,52.0,1.0,4.0,4.76,20163.0,1.43,17.6,21.98,22.71,16.25,10.3,8.33,1.39,877613.0,21.079906519160495,54.465920627884955
AP,2022,162,551,155.0,488.0,5.0,53.0,2.0,10.0,,,,,,,,,,,733759.0,22.07809376103053,75.09277569338161
AP,2023,170,538,164.0,465.0,6.0,55.0,0.0,18.0,,,,,,,,,,,733759.0,23.16836999614315,73.3210768113236
AP,2024,174,685,154.0,601.0,13.0,61.0,7.0,23.0,,,,,,,,,,,802837.0,21.673141621524667,85.32242534910573
AP,2025,172,551,163.0,484.0,7.0,50.0,2.0,17.0,,,,,,,,,,,806517.0,21.326270865958186,68.31846073920327
AP,2026,39,107,38.0,92.0,1.0,10.0,0.0,5.0,,,,,,,,,,,,,
BA,2016,893,1987,831.0,1719.0,60.0,266.0,2.0,2.0,,,,,,,,,,,15276566.0,5.845554557221826,13.006849837849684
BA,2017,957,2460,893.0,2125.0,64.0,326.0,0.0,9.0,,,,,,,,,,,15344447.0,6.2367838997391045,16.0318583002698
BA,2018,979,2420,917.0,2125.0,61.0,292.0,1.0,3.0,,,,,,,,,,,14812617.0,6.609230495867139,16.337423697649108
BA,2019,1016,2469,955.0,2112.0,60.0,354.0,1.0,3.0,4.58,380543.0,2.98,24.15,21.54,20.77,14.85,8.63,6.08,1.01,14873064.0,6.831141182475918,16.600479901115197
BA,2020,859,2273,798.0,1968.0,58.0,297.0,3.0,8.0,,,,,,,,,,,14930634.0,5.753272098157386,15.22373396869818
BA,2021,2978,1123,2637.0,988.0,341.0,120.0,0.0,15.0,4.62,337361.0,2.47,20.01,22.98,23.43,16.33,8.74,5.31,0.73,14985284.0,19.872829904324803,7.494018798709455
BA,2022,1180,3709,1111.0,3251.0,66.0,426.0,3.0,32.0,,,,,,,,,,,14141626.0,8.344160706838096,26.227535645476692
BA,2023,1264,4013,1164.0,3487.0,85.0,457.0,15.0,69.0,,,,,,,,,,,14141626.0,8.938151808002843,28.377217725882442
BA,2024,1294,4227,1189.0,3617.0,92.0,500.0,13.0,110.0,,,,,,,,,,,14850513.0,8.713503701858649,28.463663174464077
BA,2025,1139,3999,1060.0,3373.0,63.0,539.0,16.0,87.0,,,,,,,,,,,14870907.0,7.659250373901203,26.89143305112459
BA,2026,275,810,257.0,668.0,17.0,122.0,1.0,20.0,,,,,,,,,,,,,
CE,2016,527,1143,489.0,948.0,38.0,195.0,0.0,0.0,,,,,,,,,,,8963663.0,5.8792928739065715,12.751483405835316
CE,2017,531,1224,482.0,1041.0,49.0,183.0,0.0,0.0,,,,,,,,,,,9020460.0,5.886617755635522,13.569152792651371
CE,2018,468,1322,426.0,1099.0,42.0,223.0,0.0,0.0,,,,,,,,,,,9075649.0,5.156656014352252,14.566451390969396
CE,2019,493,1479,455.0,1294.0,38.0,185.0,0.0,0.0,4.44,282527.0,4.88,29.65,21.09,17.98,12.62,7.39,5.47,0.92,9132078.0,5.398552224367773,16.19565667310332
CE,2020,357,1455,322.0,1226.0,34.0,229.0,1.0,0.0,,,,,,,,,,,9187103.0,3.885882198120561,15.837419042760269
CE,2021,363,1566,333.0,1369.0,29.0,193.0,1.0,4.0,4.53,284549.0,3.32,24.2,23.54,21.26,14.18,7.41,5.17,0.93,9240580.0,3.9283248454101365,16.94698817606687
CE,2022,397,1500,365.0,1323.0,31.0,174.0,1.0,3.0,,,,,,,,,,,8794957.0,4.513950437733806,17.055228354157958
CE,2023,363,1768,330.0,1525.0,29.0,231.0,4.0,12.0,,,,,,,,,,,8794957.0,4.127365261706226,20.10242915343418
CE,2024,349,1679,316.0,1440.0,31.0,231.0,2.0,8.0,,,,,,,,,,,9233656.0,3.7796513103802,18.18348008632767
CE,2025,340,1569,307.0,1328.0,33.0,229.0,0.0,12.0,,,,,,,,,,,9268836.0,3.6682060185335033,16.92769189140902
CE,2026,77,301,71.0,270.0,5.0,31.0,1.0,0.0,,,,,,,,,,,,,
DF,2016,632,0,554.0,0.0,70.0,0.0,8.0,0.0,,,,,,,,,,,2977216.0,21.227885380167244,0.0
DF,2017,805,0,698.0,0.0,103.0,0.0,4.0,0.0,,,,,,,,,,,3039444.0,26.48510714459618,0.0
DF,2018,322,538,289.0,461.0,33.0,77.0,0.0,0.0,,,,,,,,,,,2974703.0,10.824610053507863,18.08583915772432
DF,2019,293,462,268.0,359.0,21.0,103.0,4.0,0.0,5.54,72610.0,0.27,3.97,8.6,16.18,20.61,19.44,24.31,6.62,3015268.0,9.717212533015307,15.32202112714359
DF,2020,271,478,243.0,402.0,28.0,75.0,0.0,1.0,,,,,,,,,,,3055149.0,8.870271138985366,15.645718097546144
DF,2021,263,469,232.0,405.0,29.0,62.0,2.0,2.0,5.6,66261.0,0.19,3.03,7.69,15.63,20.98,19.79,24.27,8.42,3094325.0,8.499430408893701,15.156778942095611
DF,2022,252,623,227.0,518.0,24.0,105.0,1.0,0.0,,,,,,,,,,,2817381.0,8.944477158041456,22.11273519626916
DF,2023,327,718,292.0,580.0,35.0,136.0,0.0,2.0,,,,,,,,,,,2817381.0,11.606523931268082,25.484661109022884
DF,2024,333,741,308.0,600.0,25.0,141.0,0.0,0.0,,,,,,,,,,,2982818.0,11.163939603422,24.842280018425527
DF,2025,285,614,266.0,514.0,19.0,100.0,0.0,0.0,,,,,,,,,,,2996899.0,9.509829994270746,20.487844268358728
DF,2026,85,151,80.0,126.0,5.0,25.0,0.0,0.0,,,,,,,,,,,,,
ES,2016,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,3973697.0,0.0,0.0
ES,2017,0,0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,4016356.0,0.0,0.0
ES,2018,1602,0,1143.0,0.0,173.0,0.0,286.0,0.0,,,,,,,,,,,3972388.0,40.32838685445631,0.0
ES,2019,1797,0,1289.0,0.0,222.0,0.0,286.0,0.0,5.08,98112.0,0.69,10.3,15.6,21.19,20.68,15.72,13.59,2.24,4018650.0,44.71650927550297,0.0
ES,2020,1543,0,1144.0,0.0,151.0,0.0,248.0,0.0,,,,,,,,,,,4064052.0,37.967033886377436,0.0
ES,2021,1510,0,1121.0,0.0,164.0,0.0,225.0,0.0,5.14,94800.0,0.63,7.79,14.11,21.78,22.55,17.12,13.88,2.15,4108508.0,36.75300133284394,0.0
ES,2022,1773,0,1390.0,0.0,171.0,0.0,212.0,0.0,,,,,,,,,,,3833712.0,46.24760545393081,0.0
ES,2023,457,1558,404.0,1182.0,38.0,293.0,15.0,83.0,,,,,,,,,,,3833712.0,11.920561586264174,40.63946378862053
ES,2024,1869,0,1532.0,0.0,257.0,0.0,80.0,0.0,,,,,,,,,,,4102129.0,45.56170710379903,0.0
ES,2025,398,1103,341.0,885.0,33.0,154.0,24.0,64.0,,,,,,,,,,,4126854.0,9.64415024132184,26.72738119642711
ES,2026,116,257,96.0,204.0,9.0,33.0,11.0,20.0,,,,,,,,,,,,,
GO,2016,560,1559,533.0,1307.0,27.0,250.0,0.0,2.0,,,,,,,,,,,6695855.0,8.363383018300127,23.283060938446248
GO,2017,702,2356,655.0,2018.0,47.0,333.0,0.0,5.0,,,,,,,,,,,6778772.0,10.355857963654774,34.75555749625448
GO,2018,808,2786,761.0,2362.0,42.0,401.0,5.0,23.0,,,,,,,,,,,6921161.0,11.67434192038012,40.25336211655819
GO,2019,916,2824,864.0,2421.0,44.0,384.0,8.0,19.0,5.16,180722.0,0.55,7.86,13.42,21.28,23.45,17.01,14.05,2.38,7018354.0,13.051493270359403,40.237354798575275
GO,2020,708,2594,662.0,2244.0,43.0,330.0,3.0,20.0,,,,,,,,,,,7113540.0,9.952850479508092,36.4656696946949
GO,2021,870,2690,817.0,2348.0,49.0,312.0,4.0,30.0,5.2,192835.0,0.46,6.09,12.55,21.94,24.84,17.96,14.06,2.11,7206589.0,12.07228551538044,37.32695176594641
GO,2022,828,3290,763.0,2833.0,58.0,412.0,7.0,45.0,,,,,,,,,,,7056495.0,11.733870710600659,46.62371333076832
GO,2023,795,3643,726.0,3102.0,60.0,485.0,9.0,56.0,,,,,,,,,,,7056495.0,11.266216443149183,51.626196858355314
GO,2024,793,3599,745.0,3073.0,38.0,470.0,10.0,56.0,,,,,,,,,,,7350483.0,10.788406693818624,48.96276884117683
GO,2025,749,3164,687.0,2641.0,53.0,457.0,9.0,66.0,,,,,,,,,,,7423629.0,10.089405060516897,42.62066436779101
GO,2026,174,655,157.0,542.0,16.0,102.0,1.0,11.0,,,,,,,,,,,,,
MA,2016,1090,0,847.0,0.0,195.0,0.0,48.0,0.0,,,,,,,,,,,6954036.0,15.674350837412979,0.0
MA,2017,1312,0,994.0,0.0,212.0,0.0,106.0,0.0,,,,,,,,,,,7000229.0,18.742244003731876,0.0
MA,2018,1286,0,990.0,0.0,223.0,0.0,73.0,0.0,,,,,,,,,,,7035055.0,18.27988551617578,0.0
MA,2019,1477,0,1223.0,0.0,190.0,0.0,64.0,0.0,4.22,233633.0,6.05,38.5,21.09,15.52,9.85,4.97,3.47,0.55,7075181.0,20.875791022166077,0.0
MA,2020,1418,0,1166.0,0.0,197.0,0.0,55.0,0.0,,,,,,,,,,,7114598.0,19.93085203127429,0.0
MA,2021,524,1492,485.0,1342.0,36.0,134.0,3.0,16.0,4.34,216656.0,5.22,30.46,23.72,19.51,11.88,5.77,3.03,0.41,7153262.0,7.32532933925809,20.857617126284484
MA,2022,455,1646,442.0,1527.0,13.0,119.0,0.0,0.0,,,,,,,,,,,6776699.0,6.714183409946347,24.289111852245465
MA,2023,397,1457,387.0,1345.0,10.0,112.0,0.0,0.0,,,,,,,,,,,6776699.0,5.858309480766374,21.50014335888314
MA,2024,379,1392,364.0,1246.0,15.0,146.0,0.0,0.0,,,,,,,,,,,7010960.0,5.405821741958305,19.85462761162523
MA,2025,432,1687,407.0,1510.0,25.0,176.0,0.0,1.0,,,,,,,,,,,7018211.0,6.15541482010159,24.037464818313385
MA,2026,103,414,93.0,365.0,10.0,49.0,0.0,0.0,,,,,,,,,,,,,
MG,2016,1789,3224,1660.0,2598.0,115.0,597.0,14.0,29.0,,,,,,,,,,,20997560.0,8.520037566269604,15.354164960119176
MG,2017,1803,3766,1682.0,3157.0,115.0,571.0,6.0,38.0,,,,,,,,,,,21119536.0,8.537119376107505,17.831831153866258
MG,2018,1777,4126,1676.0,3457.0,94.0,623.0,7.0,46.0,,,,,,,,,,,21040662.0,8.445551760681294,19.609649164080484
MG,2019,1536,4055,1443.0,3427.0,88.0,581.0,5.0,47.0,5.11,549942.0,0.96,10.78,13.92,19.88,20.97,16.43,14.72,2.35,21168791.0,7.255964688772259,19.155557820944992
MG,2020,1301,3598,1218.0,3062.0,79.0,501.0,4.0,35.0,,,,,,,,,,,21292666.0,6.110085040548703,16.897837029895644
MG,2021,1270,3808,1188.0,3294.0,70.0,476.0,12.0,38.0,5.21,462939.0,0.72,7.59,12.65,20.13,22.37,17.97,15.65,2.92,21411923.0,5.931274832251171,17.784483906466505
MG,2022,1173,3643,1117.0,3178.0,54.0,418.0,2.0,47.0,,,,,,,,,,,20539989.0,5.710811237532795,17.73613413327534
MG,2023,1284,4187,1194.0,3560.0,85.0,586.0,5.0,41.0,,,,,,,,,,,20539989.0,6.251220485074261,20.38462630140649
MG,2024,1477,4196,1384.0,3524.0,91.0,615.0,2.0,57.0,,,,,,,,,,,21322691.0,6.926893045535388,19.67856683755348
MG,2025,1369,4151,1262.0,3458.0,101.0,638.0,6.0,55.0,,,,,,,,,,,21393441.0,6.399157573575939,19.403143234414696
MG,2026,369,951,345.0,802.0,21.0,137.0,3.0,12.0,,,,,,,,,,,,,
MS,2016,2100,0,688.0,0.0,78.0,0.0,1334.0,0.0,,,,,,,,,,,2682386.0,78.28850881267648,0.0
MS,2017,2324,0,832.0,0.0,109.0,0.0,1383.0,0.0,,,,,,,,,,,2713147.0,85.65698799217293,0.0
MS,2018,2523,0,1964.0,0.0,289.0,0.0,270.0,0.0,,,,,,,,,,,2748023.0,91.81145863771883,0.0
MS,2019,2544,0,2165.0,0.0,313.0,0.0,66.0,0.0,5.16,77457.0,0.4,8.97,14.42,20.8,21.56,16.25,14.74,2.86,2778986.0,91.54418194262223,0.0
MS,2020,2369,0,2000.0,0.0,264.0,0.0,105.0,0.0,,,,,,,,,,,2809394.0,84.32423504855495,0.0
MS,2021,2398,147,1988.0,118.0,245.0,21.0,165.0,8.0,5.23,64941.0,0.43,6.59,12.43,20.99,23.5,17.21,15.57,3.28,2839188.0,84.46076836053125,5.177536675979189
MS,2022,2204,0,1922.0,0.0,214.0,0.0,68.0,0.0,,,,,,,,,,,2757013.0,79.94158895877531,0.0
MS,2023,2723,0,2367.0,0.0,284.0,0.0,72.0,0.0,,,,,,,,,,,2757013.0,98.76630977075553,0.0
MS,2024,2315,0,1968.0,0.0,259.0,0.0,88.0,0.0,,,,,,,,,,,2901895.0,79.77545707201674,0.0
MS,2025,1489,1198,1283.0,1013.0,176.0,152.0,30.0,33.0,,,,,,,,,,,2924631.0,50.912405701779136,40.96243252567589
MS,2026,294,292,252.0,239.0,31.0,39.0,11.0,14.0,,,,,,,,,,,,,
MT,2016,700,1298,644.0,1116.0,54.0,172.0,2.0,10.0,,,,,,,,,,,3305531.0,21.176627900328267,39.267518592322986
MT,2017,753,1374,693.0,1173.0,56.0,199.0,4.0,2.0,,,,,,,,,,,3344544.0,22.514279973592814,41.08183357731278
MT,2018,702,1553,642.0,1316.0,58.0,234.0,2.0,3.0,,,,,,,,,,,3441998.0,20.39513096753688,45.11914300938002
MT,2019,712,1554,660.0,1326.0,51.0,224.0,1.0,4.0,5.03,97099.0,0.37,10.96,16.95,22.68,21.23,14.2,11.42,2.2,3484466.0,20.4335470628785,44.5979383928556
MT,2020,666,1291,621.0,1115.0,45.0,176.0,0.0,0.0,,,,,,,,,,,3526220.0,18.887080216208858,36.61144228096942
MT,2021,624,1372,566.0,1178.0,58.0,193.0,0.0,1.0,5.15,83344.0,0.3,6.66,14.37,23.33,23.87,16.32,12.36,2.78,3567234.0,17.49254464383329,38.46117187714627
MT,2022,650,1552,595.0,1376.0,55.0,174.0,0.0,2.0,,,,,,,,,,,3658649.0,17.766120772995713,42.420029907214385
MT,2023,660,1839,622.0,1604.0,38.0,234.0,0.0,1.0,,,,,,,,,,,3658649.0,18.03944570796488,50.26445554082941
MT,2024,675,2040,608.0,1752.0,65.0,283.0,2.0,5.0,,,,,,,,,,,3836399.0,17.594624542442013,53.17486528382475
MT,2025,670,1667,626.0,1434.0,44.0,233.0,0.0,0.0,,,,,,,,,,,3887782.0,17.233476568387836,42.87791856642168
MT,2026,170,328,153.0,280.0,17.0,47.0,0.0,1.0,,,,,,,,,,,,,
PA,2016,1048,1954,988.0,1698.0,48.0,255.0,12.0,1.0,,,,,,,,,,,8272724.0,12.668136879702503,23.619789563872796
PA,2017,935,2398,899.0,2101.0,35.0,293.0,1.0,4.0,,,,,,,,,,,8366628.0,11.17535045181882,28.66148704113533
PA,2018,906,2753,851.0,2347.0,49.0,320.0,6.0,86.0,,,,,,,,,,,8513497.0,10.641925403861656,32.33688812012267
